	sentence_id	filename	token	label	attribute
0	0	1794_Hoor_Veli	Handschrift	O	
1	0	1794_Hoor_Veli	gem	O	
2	0	1794_Hoor_Veli	D	O	
3	0	1794_Hoor_Veli	.	O	
4	1	1794_Hoor_Veli	C.A	O	
5	1	1794_Hoor_Veli	.	O	
6	1	1794_Hoor_Veli	Abbing	O	
7	1	1794_Hoor_Veli	.	O	
8	2	1794_Hoor_Veli	Vervolg	O	
9	2	1794_Hoor_Veli	op	O	
10	2	1794_Hoor_Veli	de	O	
11	2	1794_Hoor_Veli	CHRONYK	O	
12	3	1794_Hoor_Veli	der	O	
13	3	1794_Hoor_Veli	Stad	O	
14	4	1794_Hoor_Veli	HOORN	O	
15	5	1794_Hoor_Veli	van	O	
16	5	1794_Hoor_Veli	den	O	
17	5	1794_Hoor_Veli	HEER	O	
18	6	1794_Hoor_Veli	D	O	
19	6	1794_Hoor_Veli	R	O	
20	6	1794_Hoor_Veli	.	O	
21	6	1794_Hoor_Veli	THEODORUS	O	
22	6	1794_Hoor_Veli	VELIUS	O	
23	7	1794_Hoor_Veli	Beginnende	O	
24	7	1794_Hoor_Veli	met	O	
25	7	1794_Hoor_Veli	het	O	
26	7	1794_Hoor_Veli	Jaar	O	
27	7	1794_Hoor_Veli	1630	O	
28	8	1794_Hoor_Veli	tot	O	
29	8	1794_Hoor_Veli	deze	O	
30	8	1794_Hoor_Veli	tegenswoordigen	O	
31	8	1794_Hoor_Veli	Tyd	O	
32	8	1794_Hoor_Veli	.	O	
33	9	1794_Hoor_Veli	A	O	
34	9	1794_Hoor_Veli	.	O	
35	9	1794_Hoor_Veli	D	O	
36	9	1794_Hoor_Veli	@	O	
37	9	1794_Hoor_Veli	@	O	
38	9	1794_Hoor_Veli	@	O	
39	9	1794_Hoor_Veli	@	O	
40	9	1794_Hoor_Veli	@	O	
41	9	1794_Hoor_Veli	@	O	
42	10	1794_Hoor_Veli	VOOR-REDEN	O	
43	10	1794_Hoor_Veli	.	O	
44	11	1794_Hoor_Veli	Ons	O	
45	11	1794_Hoor_Veli	Vaderland	O	
46	11	1794_Hoor_Veli	schoon	O	
47	11	1794_Hoor_Veli	overvloeijende	O	
48	11	1794_Hoor_Veli	van	O	
49	11	1794_Hoor_Veli	allerlij	O	
50	12	1794_Hoor_Veli	soort	O	
51	12	1794_Hoor_Veli	van	O	
52	12	1794_Hoor_Veli	boeken	O	
53	12	1794_Hoor_Veli	heeft	O	
54	12	1794_Hoor_Veli	echter	O	
55	12	1794_Hoor_Veli	nog	O	
56	12	1794_Hoor_Veli	gebrek	O	
57	12	1794_Hoor_Veli	aan	O	
58	13	1794_Hoor_Veli	zoodanige	O	
59	13	1794_Hoor_Veli	welke	O	
60	13	1794_Hoor_Veli	de	O	
61	13	1794_Hoor_Veli	gevallen	O	
62	13	1794_Hoor_Veli	van	O	
63	13	1794_Hoor_Veli	de	O	
64	13	1794_Hoor_Veli	bijzondere	O	
65	14	1794_Hoor_Veli	steden	O	
66	14	1794_Hoor_Veli	behelzen	O	
67	14	1794_Hoor_Veli	,	O	
68	14	1794_Hoor_Veli	tot	O	
69	14	1794_Hoor_Veli	omtrent	O	
70	14	1794_Hoor_Veli	de	O	
71	14	1794_Hoor_Veli	tegenwoordige	O	
72	15	1794_Hoor_Veli	tijd	O	
73	15	1794_Hoor_Veli	,	O	
74	15	1794_Hoor_Veli	en	O	
75	15	1794_Hoor_Veli	een	O	
76	15	1794_Hoor_Veli	weijnige	O	
77	15	1794_Hoor_Veli	zijnder	O	
78	15	1794_Hoor_Veli	gevonden	O	
79	15	1794_Hoor_Veli	,	O	
80	15	1794_Hoor_Veli	die	O	
81	15	1794_Hoor_Veli	zich	O	
82	16	1794_Hoor_Veli	daar	O	
83	16	1794_Hoor_Veli	toe	O	
84	16	1794_Hoor_Veli	met	O	
85	16	1794_Hoor_Veli	opzet	O	
86	16	1794_Hoor_Veli	benaarstigt	O	
87	16	1794_Hoor_Veli	hebben	O	
88	16	1794_Hoor_Veli	.	O	
89	17	1794_Hoor_Veli	Om	O	
90	17	1794_Hoor_Veli	dit	O	
91	17	1794_Hoor_Veli	gebrek	O	
92	17	1794_Hoor_Veli	na	O	
93	17	1794_Hoor_Veli	mijn	O	
94	17	1794_Hoor_Veli	vermogen	O	
95	17	1794_Hoor_Veli	eenig	O	
96	18	1794_Hoor_Veli	zints	O	
97	18	1794_Hoor_Veli	te	O	
98	18	1794_Hoor_Veli	verminderen	O	
99	18	1794_Hoor_Veli	zoo	O	
100	18	1794_Hoor_Veli	is	O	
101	18	1794_Hoor_Veli	mijn	O	
102	18	1794_Hoor_Veli	voornee	O	
103	19	1794_Hoor_Veli	men	O	
104	19	1794_Hoor_Veli	om	O	
105	19	1794_Hoor_Veli	door	O	
106	19	1794_Hoor_Veli	dit	O	
107	19	1794_Hoor_Veli	opstel	O	
108	19	1794_Hoor_Veli	,	O	
109	19	1794_Hoor_Veli	de	O	
110	19	1794_Hoor_Veli	Historie	O	
111	19	1794_Hoor_Veli	der	O	
112	19	1794_Hoor_Veli	Stad	O	
113	20	1794_Hoor_Veli	Hoorn	O	
114	20	1794_Hoor_Veli	,	O	
115	20	1794_Hoor_Veli	aan	O	
116	20	1794_Hoor_Veli	te	O	
117	20	1794_Hoor_Veli	wijzen	O	
118	20	1794_Hoor_Veli	van	O	
119	20	1794_Hoor_Veli	den	O	
120	20	1794_Hoor_Veli	Jaare	O	
121	20	1794_Hoor_Veli	1630	O	
122	20	1794_Hoor_Veli	,	O	
123	20	1794_Hoor_Veli	tot	O	
124	21	1794_Hoor_Veli	op	O	
125	21	1794_Hoor_Veli	den	O	
126	21	1794_Hoor_Veli	tegenwoordigen	O	
127	21	1794_Hoor_Veli	tijd	O	
128	21	1794_Hoor_Veli	.	O	
129	22	1794_Hoor_Veli	Zommige	O	
130	22	1794_Hoor_Veli	vaderlandsche	O	
131	22	1794_Hoor_Veli	Historiën	O	
132	22	1794_Hoor_Veli	,	O	
133	22	1794_Hoor_Veli	en	O	
134	22	1794_Hoor_Veli	wel	O	
135	23	1794_Hoor_Veli	bijzonder	O	
136	23	1794_Hoor_Veli	de	O	
137	23	1794_Hoor_Veli	zeestrijden	O	
138	23	1794_Hoor_Veli	,	O	
139	23	1794_Hoor_Veli	heb	O	
140	23	1794_Hoor_Veli	ik	O	
141	23	1794_Hoor_Veli	niet	O	
142	23	1794_Hoor_Veli	kunnen	O	
143	23	1794_Hoor_Veli	nog	O	
144	24	1794_Hoor_Veli	willen	O	
145	24	1794_Hoor_Veli	stilzwijgende	O	
146	24	1794_Hoor_Veli	passeeren	O	
147	24	1794_Hoor_Veli	,	O	
148	24	1794_Hoor_Veli	omdat	O	
149	24	1794_Hoor_Veli	in	O	
150	24	1794_Hoor_Veli	die	O	
151	24	1794_Hoor_Veli	al	O	
152	25	1794_Hoor_Veli	leen	O	
153	25	1794_Hoor_Veli	Westvries	O	
154	25	1794_Hoor_Veli	land	O	
155	25	1794_Hoor_Veli	in	O	
156	25	1794_Hoor_Veli	't	O	
